Région,Nombre d'affiliés déclarant( Indicateur sur la répartition des affiliés par région (Situation à date de 13/12/2021) )
Grand Casablanca-Settat                 ,"91,033"
Rabat-Salé-Kénitra                     ,"39,090"
Tanger-Tetouan-Al Hoceima               ,"25,860"
Marrakech-Safi                         ,"25,811"
Fès-Meknès                              ,"22,724"
Souss-Massa                            ,"22,118"
Oriental                                ,"14,783"
Béni Mellal-Khénifra                    ,"10,164"
Drâa-Tafilalet                          ,"7,987"
Laayoune-Sakia El Hamra                 ,"5,896"
Eddakhla-Oued Eddahab                   ,"4,678"
Guelmim-Oued Noun                       ,"1,949"
Total,"272,093"
