Secteur d'Activité,Nombre d'affiliés déclarant( Indicateur sur la répartition des affiliés par secteur d'activité(Situation à date de 13/12/2021 ))
COMMERCE ; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES                  ,"69,352"
CONSTRUCTION                                                          ,"44,858"
"AGRICULTURE, SYLVICULTURE ET PECHE                                    ","23,890"
"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES                   ","22,672"
HEBERGEMENT ET RESTAURATION                                           ,"20,296"
INDUSTRIE MANUFACTURIERE                                              ,"17,001"
TRANSPORTS ET ENTREPOSAGE                                             ,"15,078"
SANTE HUMAINE ET ACTION SOCIALE                                       ,"13,709"
ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN                    ,"13,316"
ENSEIGNEMENT                                                          ,"7,661"
AUTRES ACTIVITES DE SERVICES                                          ,"6,871"
INFORMATION ET COMMUNICATION                                          ,"4,898"
ACTIVITES FINANCIERES ET D'ASSURANCE                                  ,"4,002"
ACTIVITES DES MENAGES EN TANT QU'EMPLOYEURS ; ACTIVITES INDIFFERENCIEE,"2,658"
ACTIVITES IMMOBILIERES                                                ,"2,513"
"ARTS, SPECTACLES ET ACTIVITES RECREATIVES                             ","1,460"
INDUSTRIES EXTRACTIVES                                                ,915
"PRODUCTION ET DISTRIBUTION D'EAU ; ASSAINISSEMENT, GESTION DES DECHETS",534
ACTIVITES EXTRA-TERRITORIALES                                         ,158
"PRODUCTION ET DISTRIBUTION D'ELECTRICITE, DE GAZ, DE VAPEUR ET D'AIR C",145
ADMINISTRATION PUBLIQUE                                               ,55
ACTIVITE NON RENSEIGNEE                                               ,51
Total,"272,093"
